x,T,L,E
10.0,0.35809384024161484,9.019974812635006,1.2501528648238605e-07
14.9,0.41475042176649907,9.566252511502961,1.5972219443087613e-07
19.8,0.4803620678076098,10.145614485047878,2.0406447970625553e-07
24.700000000000003,0.5563411396562575,10.760064419733926,2.6071712839307525e-07
29.6,0.6443217056158916,11.41172735150281,3.330977597114699e-07
34.5,0.7461939869147839,12.102857015075157,4.255727967946242e-07
39.400000000000006,0.8641440334796832,12.835843638348415,5.437208748626289e-07
44.300000000000004,1.000699381776098,13.613222208847713,6.946693771103095e-07
49.2,1.1587815405482365,14.437681240818671,8.875244001152565e-07
54.1,1.3417662502950003,15.312072073282588,1.133920086782708e-06
59.0,1.5535525669616843,16.23941873121073,1.4487204657841414e-06
63.900000000000006,1.7986419267379472,17.222928383921996,1.8509161365176202e-06
68.80000000000001,2.082228452589785,18.266002436873595,2.3647698928183086e-06
73.7,2.4103018576402886,19.37224829520508,3.021280396054875e-06
78.60000000000001,2.789764376308451,20.54549183971913,3.860052194790782e-06
83.5,3.2285631979775062,21.78979065844647,4.931684901298459e-06
88.4,3.735839871691588,23.10944807955554,6.300825653642455e-06
93.30000000000001,4.322098069373401,24.509028054138664,8.05006900506641e-06
98.2,4.9993909066104445,25.993370940346104,1.028493950378781e-05
103.10000000000001,5.781528681379935,27.567610243456237,1.3140257539866016e-05
108.0,6.68430734712019,29.237190369776414,1.6788272481495198e-05
112.9,7.7257572177931895,31.007885455775224,2.144905373455565e-05
117.80000000000001,8.926410223120326,32.88581933756549,2.7403766567529192e-05
122.7,10.309582388639777,34.87748672980121,3.5011633565127276e-05
127.60000000000001,11.901665987380396,36.9897756872343,4.47316049050252e-05
132.5,13.732422864262128,39.22999142661298,5.7150044703372446e-05
137.4,15.835266632560273,41.60588159130839,7.301610357885405e-05
142.3,18.247516656926475,44.1256630460454,9.328691122949182e-05
147.20000000000002,21.010600880649807,46.79805029440566,0.00011918531516271998
152.10000000000002,24.170177616701025,49.63228561738288,0.0001522736484880434
157.0,27.776138532653285,52.638171037222584,0.0001945479765037834
161.9,31.882446569039644,55.82610221709155,0.00024855850697401514
166.8,36.546754110458,59.207104413816225,0.000317563426953303
171.70000000000002,41.82973948469831,62.7928706080309,0.00040572544487273274
176.60000000000002,47.79409544473513,66.59580194360606,0.0005183628918051834
181.5,54.50310394510936,70.62905061621422,0.0006622705254806669
186.4,62.01874008343977,74.90656535936047,0.0008461293827645232
191.3,70.3992677266872,79.44313968518831,0.001081030393770074
196.20000000000002,79.69632315575143,84.2544630468987,0.0013811433262559316
201.10000000000002,89.95153319796803,89.35717509972423,0.001764571384234086
206.0,101.19278086931863,94.76892324811602,0.002254442965044541
210.9,113.43031119442419,100.50842367816783,0.0028803063542435186
215.8,126.65295463600901,106.59552608635246,0.003679911360902653
220.70000000000002,140.82482223625448,113.05128232843234,0.004701485153995626
225.60000000000002,155.88287746375437,119.89801922596106,0.006006639235854766
230.50000000000003,171.73579538043,127.15941578217279,0.007674082337683605
235.4,188.26446348733097,134.8605850743059,0.009804362273072015
240.3,205.32435271517443,143.0281611055805,0.012525921259416812
245.20000000000002,222.7497980522838,151.69039091720083,0.01600282747619921
250.10000000000002,240.3599997300003,160.87723227894764,0.02044464515557127
255.00000000000003,257.9663257649999,170.6204572962153,0.026119031909571988
259.9,275.38030973157595,180.95376229181377,0.03336781228116405
264.8,292.4216336875825,191.9128843425543,0.04262747929950007
269.70000000000005,308.9253884257827,203.53572487365074,0.05445533167567752
274.6,324.7480111580899,215.86248073838445,0.06956277589337166
279.5,339.77149028375106,228.93578323635944,0.0888577247862289
284.40000000000003,353.9056578161085,242.8008455511352,0.11349852430780949
289.3,367.0886176639345,257.5056191171404,0.144962456569169
294.20000000000005,379.2855447066328,273.1009594566538,0.18513261812060405
299.1,390.48621267022014,289.6408020603859,0.23640787269203295
304.0,400.701662308505,307.18234891993797,0.30184163247084217
308.90000000000003,409.96041356180024,325.7862663572436,0.38531641667651334
313.8,418.3045730396405,345.5168948351769,0.49176241793603326
318.70000000000005,425.7861108510845,366.4424714749442,0.6274295559662848
323.6,432.4634960281415,388.6353660498172,0.8002234814216247
328.5,438.39880055478375,412.17233127138405,1.0201162940769635
333.40000000000003,443.6553160945556,437.1347682339103,1.299641655785338
338.3,448.29567806023505,463.6090079348343,1.6544803777066535
343.20000000000005,452.38045848505715,491.68660984502327,2.1041347020468315
348.1,455.96717002192565,521.4646785613659,2.672674840572152
353.0,459.10961522146937,553.0461996368336,3.3895164159178144
357.90000000000003,461.85751484217207,586.5403957494526,4.290148035679381
362.8,464.25635352141586,622.0631044419737,5.41667004812361
367.70000000000005,466.34738845659064,659.7371787386347,6.817926280184885
372.6,468.16777518685257,699.6929120245123,8.548913943480665
377.5,469.7507730427102,742.0684886568941,10.669059394565119
382.40000000000003,471.1260006862802,787.0104618670713,13.238887354206557
387.3,472.3197190604264,834.6742606053468,16.314656214056917
392.20000000000005,473.35512487714806,885.2247270821593,19.940775684866882
397.1,474.2526425181946,938.8366868643604,24.140353812106518
402.0,475.03020598507595,995.6955534982966,28.905049737499603
406.90000000000003,475.70352544931177,1055.9979697507445,34.186368495198224
411.8,476.28633515521784,1119.9524876853848,39.891212115163036
416.70000000000005,476.79062104987946,1187.7802899268297,45.88433318497725
421.6,477.22682767779406,1259.7159546066282,51.998934015558206
426.50000000000006,477.60404468364777,1336.008266636792,58.054230482066025
431.40000000000003,477.9301738010206,1416.9210781165511,63.876317514884235
436.3,478.212077536371,1502.7342208480306,69.31739493259504
441.20000000000005,478.45571094094794,1593.744474116708,74.26905453026862
446.1,478.6662379406599,1690.2665910836463,78.66752721841398
451.00000000000006,478.84813369771695,1792.634387339258,82.49137318359607
455.90000000000003,479.0052744323849,1901.2018953832387,85.75391977845122
460.8,479.14101605639826,2016.3445890234161,88.49332679544501
465.70000000000005,479.2582628745544,2138.460681927982,90.7627102863794
470.6,479.3595275070531,2267.9725048220803,92.62183533975347
475.50000000000006,479.446983078728,2405.3279660917183,94.13098250079089
480.40000000000003,479.5225086168239,2551.002100846366,95.34695254852687
485.3,479.5877284991922,2705.498713797613,96.32083915942198
490.20000000000005,479.6440467014446,2869.35212163566,97.09709641636593
495.1,479.6926765055819,3043.129000929529,97.71346098242569
500.0,479.7346662542767,3227.430347941881,98.20137900379083
